date,time,price
20070116,1450,100.39
20070116,1455,100.44
20070116,1500,100.47
20070116,1505,100.54
20070116,1510,100.61
20070116,1515,100.7
20070116,1520,100.57
20070116,1525,100.68
20070116,1530,100.6
20070116,1535,100.58
20070116,1540,100.78
20070116,1545,100.58
20070116,1550,100.64
20070116,1555,100.74
20070116,1600,100.75
20070117,935,100.3
20070117,940,100.25
20070117,945,100.29
20070117,950,100.55
20070117,955,100.78
20070117,1000,100.79
20070117,1005,100.47
20070117,1010,100.65
20070117,1015,100.55
20070117,1020,100.61
20070117,1025,100.49
20070117,1030,100.03
20070117,1035,100.15
20070117,1040,100.27
20070117,1045,100.26
20070117,1050,100.21
20070117,1055,100.27
20070117,1100,100.24
20070117,1105,100.46
20070117,1110,100.45
20070117,1115,100.47
20070117,1120,100.45
20070117,1125,100.48
20070117,1130,100.26
20070117,1135,100.26
20070117,1140,100.29
20070117,1145,100.25
20070117,1150,100.29
20070117,1155,100.25
20070117,1200,100.28
20070117,1205,100.34
20070117,1210,100.38
20070117,1215,100.49
20070117,1220,100.47
20070117,1225,100.48
20070117,1230,100.33
20070117,1235,100.23
20070117,1240,100.22
20070117,1245,100.27
20070117,1250,100.24
20070117,1255,100.28
20070117,1300,100.3
20070117,1305,100.33
20070117,1310,100.31
20070117,1315,100.31
20070117,1320,100.29
20070117,1325,100.29
20070117,1330,100.26
20070117,1335,100.21
20070117,1340,100.29
20070117,1345,100.25
20070117,1350,100.25
20070117,1355,100.18
20070117,1400,100.26
20070117,1405,100.27
20070117,1410,100.22
20070117,1415,100.07
20070117,1420,99.99
20070117,1425,100.0
20070117,1430,99.99
20070117,1435,100.0
20070117,1440,100.01
20070117,1445,100.1
20070117,1450,100.03
20070117,1455,99.99
20070117,1500,100.0
20070117,1505,100.0
20070117,1510,99.97
20070117,1515,99.97
20070117,1520,99.98
20070117,1525,100.0
20070117,1530,100.01
20070117,1535,100.0
20070117,1540,100.0
20070117,1545,100.0
20070117,1550,99.99
20070117,1555,99.99
20070117,1600,100.1
20070118,935,99.81
20070118,940,99.7
20070118,945,99.64
20070118,950,99.5
20070118,955,99.7
